■ 역대 박스오피스 (공식통계 기준),,,,,,,,,,,
- 조회일: 2021-04-19,,,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,,,
▶ 검색조건 [ 영화구분 : 일반영화???국적 : 전체 ],,,,,,,,,,,
순위,영화명,개봉일,매출액,관객수,,스크린수,,대표국적,국적,배급사,
,,,,(S:서울 기준),,(S:서울 기준),,,,,
101,살인의 추억,2003-04-25,,,"5,255,376",S,54,한국,한국,CJ ENM,스릴러 
102,조커,2019-10-02,"45,443,092,130",,"5,255,308",,"1,418",미국,미국,워너브러더스 코리아(주),드라마
103,월드 워 Z,2013-06-20,"38,555,357,000",,"5,237,525",,964,미국,미국,롯데쇼핑㈜롯데엔터테인먼트,액션
104,반지의 제왕 : 두개의 탑,2002-12-19,0,,"5,183,000",S,79,미국,미국,"워너브러더스 코리아(주),(주)시네마서비스",액션
105,타워,2012-12-25,"37,654,858,000",,"5,181,014",,617,한국,한국,씨제이이앤엠(주),드라마
106,말아톤,2005-01-27,0,,"5,148,022",S,73,한국,한국,(주)쇼박스,드라마
107,미녀와 야수,2017-03-16,"42,132,589,579",,"5,138,193",,"1,627",미국,미국,월트디즈니컴퍼니코리아 유한책임회사,어린이
108,추격자,2008-02-14,"33,943,278,500",,"5,071,619",,435,한국,한국,(주)쇼박스,스릴러 
109,독전,2018-05-22,"43,484,892,913",,"5,063,620",,"1,357",한국,한국,(주)넥스트엔터테인먼트월드(NEW),액션
110,쿵푸팬더 2,2011-05-26,"44,298,724,500",,"5,062,722",,948,미국,미국,씨제이이앤엠(주),어린이
111,아쿠아맨,2018-12-19,"44,113,456,704",,"5,038,134",,"1,285",미국,"미국,호주",워너브러더스 코리아(주),액션
112,공작,2018-08-08,"42,788,691,176",,"4,974,512",,"1,317",한국,한국,씨제이이앤엠(주),드라마
113,인사이드 아웃,2015-07-09,"38,024,694,936",,"4,969,735",,777,미국,미국,월트디즈니컴퍼니코리아(주),어린이
114,캐리비안의 해적: 세상의 끝에서,2007-05-23,0,,"4,966,571",S,244,미국,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,액션
115,킹스맨: 골든 서클,2017-09-27,"40,987,484,736",,"4,945,484",,"1,687",미국,"미국,영국",이십세기폭스코리아(주),액션
116,마스터,2016-12-21,"39,811,539,665",,"4,940,091",,"1,501",한국,한국,씨제이이앤엠(주),액션
117,동갑내기 과외하기,2003-02-07,,,"4,937,573",S,54,한국,한국,CJ ENM,코미디
118,스파이더맨 3,2007-05-01,0,,"4,935,660",S,198,미국,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,액션
119,바람과 함께 사라지다,2012-08-08,"34,614,661,161",,"4,909,937",,694,한국,한국,(주)넥스트엔터테인먼트월드(NEW),코미디
120,마션,2015-10-08,"39,663,145,295",,"4,880,800",,"1,132",미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,이십세기폭스코리아(주)",SF
121,토르: 라그나로크,2017-10-25,"39,248,432,595",,"4,857,152",,"1,640",미국,미국,월트디즈니컴퍼니코리아 유한책임회사,액션
122,어메이징 스파이더맨,2012-06-28,"41,163,951,235",,"4,853,123",,"1,118",미국,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,액션
123,봉오동 전투,2019-08-07,"40,588,648,538",,"4,787,538",,"1,476",한국,한국,(주)쇼박스,액션
124,조선명탐정 : 각시투구꽃의 비밀,2011-01-27,"35,841,769,500",,"4,786,259",,611,한국,한국,(주)쇼박스,코미디
125,군도: 민란의 시대,2014-07-23,"36,987,755,999",,"4,774,895",,"1,394",한국,한국,(주)쇼박스,액션
126,남산의 부장들,2020-01-22,"41,223,596,650",,"4,750,104",,"1,659",한국,한국,(주)쇼박스,드라마
127,라이온 킹,2019-07-17,"41,518,977,430",,"4,743,184",,"1,936",미국,미국,월트디즈니컴퍼니코리아 유한책임회사,어린이
128,범죄와의 전쟁: 나쁜놈들 전성시대,2012-02-02,"36,538,823,500",,"4,719,872",,699,한국,한국,(주)쇼박스,스릴러
129,주토피아,2016-02-17,"37,077,444,042",,"4,703,245",,661,미국,미국,월트디즈니컴퍼니코리아(주),어린이 
130,엣지 오브 투모로우,2014-06-04,"38,731,398,201",,"4,699,208",,801,미국,미국,워너브러더스 코리아(주),액션
131,신세계,2013-02-21,"34,881,330,905",,"4,682,492",,671,한국,한국,(주)넥스트엔터테인먼트월드(NEW),액션
132,쿵푸 팬더,2008-06-05,"30,000,965,000",,"4,673,009",,351,미국,미국,CJ ENM,어린이
133,신비한 동물사전,2016-11-16,"39,337,263,058",,"4,666,993",,"1,431",미국,"미국,영국",워너브러더스 코리아(주),판타지
134,도가니,2011-09-22,"35,566,854,800",,"4,662,822",,644,한국,한국,씨제이이앤엠(주),드라마
135,캐리비안의 해적 : 망자의 함,2006-07-06,0,,"4,628,903",S,129,미국,미국,브에나비스타인터내셔널코리아,액션
136,박물관이 살아있다!,2006-12-21,0,,"4,612,831",S,86,미국,미국,이십세기폭스코리아(주),어린이
137,내 아내의 모든 것,2012-05-17,"34,222,160,500",,"4,598,583",,563,한국,한국,(주)넥스트엔터테인먼트월드(NEW),코미디
138,나쁜 녀석들: 더 무비,2019-09-11,"39,560,195,124",,"4,573,902",,"1,511",한국,한국,씨제이이앤엠(주),액션
139,터미네이터 : 미래전쟁의 시작,2009-05-21,"30,146,162,133",,"4,568,891",,704,미국,미국,롯데쇼핑㈜롯데엔터테인먼트,액션
140,맘마미아!,2008-09-03,"29,570,784,560",,"4,554,785",,457,미국,미국,유니버설픽쳐스인터내셔널 코리아(유),뮤지컬
141,연가시,2012-07-05,"32,175,400,664",,"4,515,833",,759,한국,한국,씨제이이앤엠(주),스릴러
142,아이언맨 2,2010-04-29,"33,161,943,100",,"4,498,335",,757,미국,미국,CJ ENM,액션
143,강철비,2017-12-14,"35,489,576,466",,"4,452,740",,"1,426",한국,한국,(주)넥스트엔터테인먼트월드(NEW),액션
144,해리포터와 죽음의 성물2,2011-07-13,"34,507,819,000",,"4,400,298",,757,미국,미국,워너브러더스 코리아(주),판타지
145,다만 악에서 구하소서,2020-08-05,"38,602,260,990",,"4,357,803",,"1,998",한국,한국,씨제이이앤엠(주),액션
146,아이언맨,2008-04-30,"27,802,744,668",,"4,316,003",,592,미국,미국,CJ ENM,액션
147,판도라,2016-12-07,"33,960,446,164",,"4,314,535",,"1,166",한국,한국,(주)넥스트엔터테인먼트월드(NEW),스릴러
148,엑스맨: 데이즈 오브 퓨처 패스트,2014-05-22,"34,654,558,766",,"4,313,871",,"1,056",미국,미국,이십세기폭스코리아(주),액션
149,강철중: 공공의 적 1-1,2008-06-19,"28,465,757,767",,"4,300,670",,659,한국,한국,"CJ ENM,(주)시네마서비스",액션
150,아가씨,2016-06-01,"35,211,229,991",,"4,287,839",,"1,171",한국,한국,씨제이이앤엠(주),드라마
151,킹콩,2005-12-14,0,,"4,232,430",S,89,미국,미국,UIP코리아,판타지
152,어메이징 스파이더맨 2,2014-04-23,"34,869,056,800",,"4,168,350",,"1,312",미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),액션
153,인디아나 존스 4 : 크리스탈 해골의 왕국,2008-05-22,"26,693,951,667",,"4,136,101",,660,미국,미국,CJ ENM,액션
154,용의자,2013-12-24,"30,037,161,000",,"4,131,248",,807,한국,한국,(주)쇼박스,액션
155,건축학개론,2012-03-22,"30,219,800,500",,"4,110,645",,593,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,드라마
156,태풍,2005-12-14,0,,"4,094,395",S,115,한국,한국,CJ ENM,액션
157,미이라 3:황제의 무덤,2008-07-30,"26,222,207,084",,"4,090,795",,527,미국,미국,유니버설픽쳐스인터내셔널 코리아(유),액션
158,7급 공무원,2009-04-22,"26,701,311,856",,"4,088,799",,475,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,액션
159,다크 나이트,2008-08-06,"27,059,471,306",,"4,087,355",,462,미국,미국,"주식회사 해리슨앤컴퍼니,워너브러더스 코리아(주)",액션
160,색즉시공,2002-12-11,0,,"4,082,797",S,41,한국,한국,(주)쇼박스,코미디
161,댄싱퀸,2012-01-18,"30,129,259,500",,"4,057,546",,534,한국,한국,씨제이이앤엠(주),코미디
162,우리 생애 최고의 순간,2008-01-10,"26,151,780,425",,"4,044,582",,418,한국,한국,(주)싸이더스,드라마
163,꾼,2017-11-22,"31,313,568,795",,"4,018,341",,"1,314",한국,한국,(주)쇼박스,액션
164,타짜-신의 손,2014-09-03,"32,373,120,927",,"4,015,361",,890,한국,한국,"롯데쇼핑㈜롯데엔터테인먼트,(주)싸이더스",드라마
165,혹성탈출: 반격의 서막,2014-07-10,"31,514,053,095",,"4,002,560",,922,미국,미국,이십세기폭스코리아(주),액션
166,해리포터와 비밀의 방,2002-12-13,0,,"4,000,000",S,89,미국,미국,워너브러더스 코리아(주),판타지
167,쿵푸팬더3,2016-01-28,"31,340,798,156",,"3,984,812",,"1,365",미국,미국,씨제이이앤엠(주),어린이
168,캡틴 아메리카: 윈터 솔져,2014-03-26,"31,710,585,385",,"3,963,220",,"1,106",미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),액션
169,공공의 적 2,2005-01-27,0,,"3,911,356",S,95,한국,한국,(주)시네마서비스,드라마
